loss,accuracy,val_loss,val_accuracy
2.38240385055542,0.5735009908676147,0.6150732040405273,0.8270676732063293
0.6775535345077515,0.7978723645210266,0.308729887008667,0.8571428656578064
0.44590017199516296,0.8423597812652588,0.23251119256019592,0.9248120188713074
0.3240768313407898,0.8829787373542786,0.21717776358127594,0.932330846786499
0.279263973236084,0.8955512642860413,0.19045798480510712,0.9398496150970459
0.2231045961380005,0.9226305484771729,0.1861231029033661,0.9172932505607605
0.20821309089660645,0.9197292327880859,0.1591929793357849,0.9398496150970459
0.173163503408432,0.9371373057365417,0.17875556647777557,0.9172932505607605
0.1733536720275879,0.9284332394599915,0.13500019907951355,0.9548872113227844
0.16550450026988983,0.9332688450813293,0.2126270830631256,0.9097744226455688
0.12122942507266998,0.957446813583374,0.14904600381851196,0.9398496150970459
0.09766044467687607,0.9690521955490112,0.1395435631275177,0.9398496150970459
0.09339115023612976,0.9642166495323181,0.16206112504005432,0.9248120188713074
0.0696181207895279,0.9767891764640808,0.1983012557029724,0.9398496150970459
