loss,accuracy,val_loss,val_accuracy
0.753717839717865,0.7427465915679932,0.34082740545272827,0.8646616339683533
0.335947722196579,0.8733075261116028,0.24733220040798187,0.9097744226455688
0.19708164036273956,0.924564778804779,0.1487642228603363,0.9473684430122375
0.15450187027454376,0.945841372013092,0.13192500174045563,0.932330846786499
0.12717801332473755,0.9555125832557678,0.12116269767284393,0.9473684430122375
0.10147446393966675,0.9622824192047119,0.11944655328989029,0.9548872113227844
0.06822025775909424,0.9796905517578125,0.12057638168334961,0.9398496150970459
0.06328010559082031,0.9796905517578125,0.1261550635099411,0.9473684430122375
0.06172595173120499,0.9835590124130249,0.13151778280735016,0.932330846786499
0.046899572014808655,0.9854932427406311,0.120009645819664,0.9624060392379761
0.04505259916186333,0.9806576371192932,0.13155634701251984,0.9398496150970459
0.04306012764573097,0.9854932427406311,0.1424393504858017,0.9473684430122375
0.043518051505088806,0.9864603281021118,0.12932568788528442,0.9548872113227844
0.040794823318719864,0.988394558429718,0.1307445764541626,0.9473684430122375
0.03273541480302811,0.9893617033958435,0.14352750778198242,0.932330846786499
